TimeSec,TrackId,WorldX,WorldY,ClassName,SensorSupport,Hits,Locked,ClusterAllGhost,TruthId
21,1,26.266627558076,32.5000551515133,person,4,43,1,0,1
21,127,21.9977661706157,10.2315316721932,person,1,1,0,1,0
21,3,58.8808720638939,48.5697845937325,vehicle,3,43,1,0,2
21,128,23.0166715467203,64.0362298293764,person,1,1,0,1,0
21,129,91.0169076782928,59.6409433560576,person,1,1,0,1,0
21.5,1,26.2697777677323,32.4609628255072,person,4,44,1,0,1
21.5,3,58.8588989415185,48.5982030306685,vehicle,3,44,1,0,2
21.5,130,50.5095002400604,20.2039413516442,person,1,1,0,1,0
21.5,131,35.6248027920798,40.4316008603997,person,1,1,0,1,0
21.5,132,31.1072269215011,3.61486932951268,person,1,1,0,1,0
22,1,26.2388478813079,32.4428038094296,person,4,45,1,0,1
22,133,3.10259814174344,35.0684233171079,person,1,1,0,1,0
22,3,58.7982395492232,48.5812589956861,vehicle,3,45,1,0,2
22,134,57.7212118085122,43.3549507030322,person,1,1,0,1,0
22,135,61.7739531457416,53.026703291795,person,1,1,0,1,0
22.5,1,26.3824910737209,32.4772660693933,person,4,46,1,0,1
22.5,3,58.4873188186838,48.4306211879099,vehicle,3,46,1,0,2
22.5,136,67.4591271319009,-0.702521435071167,person,1,1,0,1,0
22.5,137,6.55142294834665,61.9381706369201,person,1,1,0,1,0
22.5,138,49.0353914120365,-16.1509267416654,person,1,1,0,1,0
23,1,26.5405768454982,32.3896306319819,person,4,47,1,0,1
23,139,-3.03437445970989,2.57672023671055,person,1,1,0,1,0
23,3,58.5018024545334,48.4303546031218,vehicle,3,47,1,0,2
23,140,54.0774399780313,85.5828650659924,person,1,1,0,1,0
23,141,61.0822844085225,20.3058005543081,person,1,1,0,1,0
23.5,1,26.4957211359434,32.4501799102235,person,4,48,1,0,1
23.5,3,58.6151100326181,48.498288956867,vehicle,3,48,1,0,2
23.5,142,94.9967558399151,10.4027374823251,person,1,1,0,1,0
23.5,143,-21.2816333221806,34.8222816906064,person,1,1,0,1,0
23.5,144,49.531723513499,12.2901472455781,person,1,1,0,1,0
24,1,26.7141750017096,32.3724380788849,person,4,49,1,0,1
24,145,30.1234210625465,-10.8817605756665,person,1,1,0,1,0
24,3,58.4980262645308,48.5928673737949,vehicle,3,49,1,0,2
24,146,31.1555007953357,74.6663512318183,person,1,1,0,1,0
24,147,87.7772062394806,42.3392175442375,person,1,1,0,1,0
24.5,1,26.8699545577513,32.3866945763967,person,4,50,1,0,1
24.5,3,58.2304541520854,48.4739913091222,vehicle,3,50,1,0,2
24.5,148,66.3290296450943,23.5101434727172,person,1,1,0,1,0
24.5,149,19.0226558649786,28.3116490424532,person,1,1,0,1,0
24.5,150,19.5991449915031,21.118471234031,person,1,1,0,1,0
25,1,26.843430126392,32.4049670165483,person,4,51,1,0,1
25,151,19.4801772978337,25.3011842156625,person,1,1,0,1,0
25,3,58.1777467513544,48.5134703805845,vehicle,3,51,1,0,2
25,152,34.3819256609109,46.6668210326911,person,1,1,0,1,0
25,153,69.5389120277749,74.8988803468118,person,1,1,0,1,0
25.5,1,26.9661550828958,32.3381174369717,person,4,52,1,0,1
25.5,3,58.1285801835204,48.4498182899646,vehicle,3,52,1,0,2
25.5,154,45.6251530531251,-3.77921755095057,person,1,1,0,1,0
25.5,155,14.0544305814267,51.65911933627,person,1,1,0,1,0
25.5,156,33.8909340651472,-8.69960997268248,person,1,1,0,1,0
26,1,27.1220155028947,32.2907733354397,person,4,53,1,0,1
26,157,-20.5184628123714,19.6241065855437,person,1,1,0,1,0
26,3,58.0052756732946,48.4759425282585,vehicle,3,53,1,0,2
26,158,52.9989141722086,70.1680188785618,person,1,1,0,1,0
26,159,54.0334137520102,38.8192412606911,person,1,1,0,1,0
26.5,1,27.1403464404419,32.1772260434606,person,4,54,1,0,1
26.5,3,58.1524014999735,48.4748962455602,vehicle,3,54,1,0,2
26.5,160,81.7574369830968,-2.2785453368267,person,1,1,0,1,0
26.5,161,-12.3080583772575,55.7973499038377,person,1,1,0,1,0
26.5,162,68.5806795844597,0.086268781216674,person,1,1,0,1,0
27,1,27.2621807866738,32.1111862310772,person,4,55,1,0,1
27,163,8.81876931392586,-10.9667521105744,person,1,1,0,1,0
27,3,57.9495957001611,48.5537023925426,vehicle,3,55,1,0,2
27,164,33.0033012940571,96.077695588726,person,1,1,0,1,0
27,165,76.3877770047444,38.3106492873646,person,1,1,0,1,0
27.5,1,27.3344145521327,32.114216358667,person,4,56,1,0,1
27.5,3,57.8097625911976,48.5638879946225,vehicle,3,56,1,0,2
27.5,166,86.4108283834089,36.2998994631215,person,1,1,0,1,0
27.5,167,5.15381547254227,33.3424173330977,person,1,1,0,1,0
27.5,168,38.5804968821613,22.9439407850797,person,1,1,0,1,0
28,1,27.4107646781443,32.0765405881226,person,4,57,1,0,1
28,169,19.8144764409732,11.9173033639937,person,1,1,0,1,0
28,3,57.846051100935,48.5208675417708,vehicle,3,57,1,0,2
28,170,26.0465061385498,62.1705677690863,person,1,1,0,1,0
28,171,86.8514939748718,61.2306231154058,person,1,1,0,1,0
28.5,1,27.6378780568457,31.9399566426868,person,4,58,1,0,1
28.5,3,57.7616647883655,48.5038312697848,vehicle,3,58,1,0,2
28.5,172,50.945217308999,16.0757926724609,person,1,1,0,1,0
28.5,173,33.9987668368524,45.2532251231318,person,1,1,0,1,0
28.5,174,9.70748179564341,-5.3132604368708,person,1,1,0,1,0
29,1,27.7019730011453,31.7952365267188,person,4,59,1,0,1
29,175,-0.268743652763391,31.6922314157357,person,1,1,0,1,0
29,3,57.6068610241923,48.4930180135558,vehicle,3,59,1,0,2
29,176,60.6792937602152,48.2659987673985,person,1,1,0,1,0
29,177,62.3039483529656,50.1948611586876,person,1,1,0,1,0
29.5,1,27.7920224141597,31.7553334097859,person,4,60,1,0,1
29.5,3,57.5891709777733,48.5050783715367,vehicle,3,60,1,0,2
29.5,178,69.465138517136,1.0159072136276,person,1,1,0,1,0
29.5,179,4.15911228857521,59.4999166062507,person,1,1,0,1,0
29.5,180,51.4619237539232,-12.5961445737199,person,1,1,0,1,0
30,1,27.945287509077,31.6951601289127,person,4,61,1,0,1
30,181,-0.0151650750764514,1.71166672249668,person,1,1,0,1,0
30,3,57.4951661698972,48.5301990664597,vehicle,3,61,1,0,2
30,182,50.1095434415713,86.0871728841019,person,1,1,0,1,0
